source_make,brand,brand_country
LANDROVER,Land Rover,United Kingdom
LDV,LDV,United Kingdom
LEAPMOTOR,Leapmotor,China
LEXUS,Lexus,Japan
LEYLAND,Leyland,United Kingdom
LINCOLN,Lincoln,United States
LIVAN,Livan,China
LOTUS,Lotus,United Kingdom
LUCID,Lucid,United States
MAHINDRA,Mahindra,India
MASERATI,Maserati,Italy
MATRA,Matra,France
MAYBACH,Maybach,Germany
MAZDA,Mazda,Japan
MCC,Smart,Germany
MCLAREN,McLaren,United Kingdom
MERCEDES BENZ,Mercedes-Benz,Germany
MERCEDES-BENZ,Mercedes-Benz,Germany
MERCURY,Mercury,United States
MG,MG,United Kingdom
MINI,Mini,United Kingdom
MITSUBISHI,Mitsubishi,Japan
MITSUOKA,Mitsuoka,Japan
MORGAN,Morgan,United Kingdom
MORRIS,Morris,United Kingdom
NASH,Nash,United States
NIO,Nio,China
NISSAN,Nissan,Japan
NISSAN INFINITI,Infiniti,Japan
NSU,NSU,Germany
OAKLAND,Oakland,United States
OLDSMOBILE,Oldsmobile,United States
OMODA,Omoda,China
OPEL,Opel,Germany
OVERLAND,Overland,United States
PACKARD,Packard,United States
PAGANI,Pagani,Italy
PANTHER,Panther,United Kingdom
PEERLESS,Peerless,United States
PEUGEOT,Peugeot,France
PIERCE-ARROW,Pierce-Arrow,United States
PLYMOUTH,Plymouth,United States
POLESTAR,Polestar,Sweden
PONTIAC,Pontiac,United States
PORSCHE,Porsche,Germany
PROTON,Proton,Malaysia
RAM,Ram,United States
RAMBLER,Rambler,United States
RANGE ROVER,Range Rover,United Kingdom
RELIANT,Reliant,United Kingdom
RENAULT,Renault,France
REWACO,Rewaco,Germany
RILEY,Riley,United Kingdom
RIVIAN,Rivian,United States
ROLLS-ROYCE,Rolls-Royce,United Kingdom
ROVER,Rover,United Kingdom
SAAB,Saab,Sweden
SACHSENRING,Sachsenring,Germany
SATURN,Saturn,United States
SAXON,Saxon,United States
SCION,Scion,Japan
SEAT,Seat,Spain
SHAY,Shay,United States
SHELBY,Shelby,United States
SINGER,Singer,United Kingdom
SKODA,Skoda,Czech Republic
SKYWELL,Skywell,China
SKYWORTH,Skyworth,China
SMART,Smart,Germany
SSANGYONG,SsangYong,South Korea
STANDARD,Standard,United Kingdom
STUDEBAKER,Studebaker,United States
STUTZ,Stutz,United States
SUBARU,Subaru,Japan
SUNBEAM,Sunbeam,United Kingdom
SUZUKI,Suzuki,Japan
SWALLOW,Swallow,United Kingdom
TALBOT,Talbot,United Kingdom
TATA,Tata,India
TESLA,Tesla,United States
TOWNSEND,Townsend,New Zealand
TOYOTA,Toyota,Japan
TOYOTA LEXUS,Lexus,Japan
TRIUMPH,Triumph,United Kingdom
TUSHEK,Tushek,Slovenia
TVR,TVR,United Kingdom
VALIANT,Valiant,United States
VANDEN PLAS,Vanden Plas,United Kingdom
VAUXHALL,Vauxhall,United Kingdom
VENTURI,Venturi,France
VINFAST,VinFast,Vietnam
VOLKSWAGEN,Volkswagen,Germany
VOLVO,Volvo,Sweden
VW,Volkswagen,Germany
WARSAW,FSO,Poland
WARTBURG,Wartburg,Germany
WESTFIELD,Westfield,United Kingdom
WIESMANN,Wiesmann,Germany
WILLYS,Willys,United States
WOLSELEY,Wolseley,United Kingdom
XPENG,XPeng,China
YANGWANG,Yangwang,China
ZAGATO,Zagato,Italy
ZEEKR,Zeekr,China
